,SourceFile,Directory,Date,FileName,Rings_visible,Rings_comb,Flag,comments,Molt,Score
229,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4853.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4853.JPG,1,RLBY,1,,0,
218,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4392.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4392.JPG,1,RWLY,0,,1,5
219,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4400.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4400.JPG,1,RBBY,0,,1,4
220,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4426.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4426.JPG,1,RWLY,0,,1,5
221,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4458.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4458.JPG,1,RBBY,0,,1,4
222,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4487.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4487.JPG,1,RORB,0,,1,6
223,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4502.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4502.JPG,1,RORB,0,,1,6
224,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4511.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4511.JPG,1,RORB,0,,1,6
227,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4663.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4663.JPG,1,RYLR,0,,1,4
228,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4850.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4850.JPG,1,RLBY,1,,0,
230,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4865.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4865.JPG,1,RLBY,1,,1,5
231,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_5022.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_5022.JPG,1,RWBB,0,,1,6
225,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4548.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4548.JPG,1,RWBL,0,,0,
